date,date1,price
 99/05/25, 99/05/25,49.12
 99/05/26, 99/05/26,49.32
 99/05/27, 99/05/27,49.66
 99/05/28, 99/05/28,49.87
 99/05/31, 99/05/31,50.1
 99/06/01, 99/06/01,49.83
 99/06/02, 99/06/02,49.05
 99/06/03, 99/06/03,50.2
 99/06/04, 99/06/04,50.05
 99/06/07, 99/06/07,48.74
 99/06/08, 99/06/08,48.56
 99/06/09, 99/06/09,48.18
 99/06/10, 99/06/10,48.85
 99/06/11, 99/06/11,49.62
 99/06/14, 99/06/14,50.35
 99/06/15, 99/06/15,50.7
 99/06/17, 99/06/17,51.05
 99/06/18, 99/06/18,50.9
 99/06/21, 99/06/21,52
 99/06/22, 99/06/22,51.7
 99/06/23, 99/06/23,51.15
 99/06/24, 99/06/24,51.3
 99/06/25, 99/06/25,50.6
 99/06/28, 99/06/28,50.8
 99/06/29, 99/06/29,50.5
 99/06/30, 99/06/30,49.55
 99/07/01, 99/07/01,49.19
 99/07/02, 99/07/02,49.49
 99/07/05, 99/07/05,50.5
 99/07/06, 99/07/06,51.4
 99/07/07, 99/07/07,51.3
 99/07/08, 99/07/08,52.05
 99/07/09, 99/07/09,52.35
 99/07/12, 99/07/12,52.3
 99/07/13, 99/07/13,52.15
 99/07/14, 99/07/14,53.15
 99/07/15, 99/07/15,53.25
 99/07/16, 99/07/16,52.9
 99/07/19, 99/07/19,52.75
 99/07/20, 99/07/20,53.2
 99/07/21, 99/07/21,52.9
 99/07/22, 99/07/22,52.95
 99/07/23, 99/07/23,53.7
 99/07/26, 99/07/26,53.85
 99/07/27, 99/07/27,53.6
 99/07/28, 99/07/28,54.05
 99/07/29, 99/07/29,54.1
 99/07/30, 99/07/30,53.9
 99/08/02, 99/08/02,54.95
 99/08/03, 99/08/03,55.2
 99/08/04, 99/08/04,55.1
 99/08/05, 99/08/05,55.05
 99/08/06, 99/08/06,55.2
 99/08/09, 99/08/09,55.5
 99/08/10, 99/08/10,55.4
 99/08/11, 99/08/11,54.7
 99/08/12, 99/08/12,54.25
 99/08/13, 99/08/13,54.85
 99/08/16, 99/08/16,55
 99/08/17, 99/08/17,54.95
 99/08/18, 99/08/18,54.65
 99/08/19, 99/08/19,54.95
 99/08/20, 99/08/20,54.95
 99/08/23, 99/08/23,55.3
 99/08/24, 99/08/24,54.95
 99/08/25, 99/08/25,53.95
 99/08/26, 99/08/26,53.6
 99/08/27, 99/08/27,53.85
 99/08/30, 99/08/30,54.1
 99/08/31, 99/08/31,53.3
